,feature1,feature2,correlation
0,V16,addr2_is_missing,0.9462453343912273
1,V16,ProductCD_C,0.9650260339393337
2,V16,V18,0.8123795217264694
3,V16,addr_missing_count,0.9462453343912273
4,V16,V57,0.9549848111667825
5,V16,R_emaildomain_is_missing,0.9142378623492163
6,V16,addr2,0.8274589535467918
7,V16,V50,0.9705856767646405
8,V16,V43,0.856057493408676
9,V16,P_R_email_same,0.9742939257512206
10,V16,V58,0.9006221320676815
11,V16,V21,0.8400618869581703
12,V16,V42,0.8988338348089143
13,V16,V52,0.8522824154857404
14,V16,V33,0.9334760858399285
15,V16,ProductCD_W,0.8930178631535153
16,V16,V34,0.8873010306497556
17,V16,V39,0.8230924036009472
18,V16,V51,0.912126469335598
19,V16,V59,0.8104191126388948
20,V16,addr1_is_missing,0.9462453343912273
21,V36,V35,0.9282548286571752
22,addr2_is_missing,ProductCD_C,0.9776820449802169
23,addr2_is_missing,V18,0.8470575266249956
24,addr2_is_missing,addr_missing_count,1.0
25,addr2_is_missing,V57,0.9123759381055606
26,addr2_is_missing,V50,0.9477039868810938
27,addr2_is_missing,V43,0.862108534143835
28,addr2_is_missing,P_R_email_same,0.8112905570436483
29,addr2_is_missing,V58,0.8614317735744921
30,addr2_is_missing,V21,0.8800835483443596
31,addr2_is_missing,V42,0.9030942956540444
32,addr2_is_missing,V52,0.8391907317057895
33,addr2_is_missing,V33,0.8932468143243629
34,addr2_is_missing,V34,0.8405073075332292
35,addr2_is_missing,V39,0.8273086017204542
36,addr2_is_missing,V51,0.8985676422209881
37,addr2_is_missing,V59,0.8249801039368508
38,addr2_is_missing,V22,0.8153511796686539
39,addr2_is_missing,addr1_is_missing,1.0
40,V13,V12,0.9219229208533896
41,card6_debit,card6_credit,0.9840192698715053
42,V20,V19,0.9163345505055455
43,V40,V18,0.8408405031783779
44,V40,V43,0.8603765309412938
45,V40,V21,0.8077968828633832
46,V40,V42,0.8325800837488795
47,V40,V39,0.929152979311444
48,V40,V59,0.8453428369532109
49,V40,V22,0.8064036985920322
50,V28,V27,0.9581712260704356
51,V5,V4,0.9162089676996433
52,amount_log,amount_rank,0.9515498463186406
53,V54,V53,0.9187033757556926
54,V24_V38_product,V38,0.8470452380647064
55,D4,D6,0.9664872913380343
56,ProductCD_C,V18,0.8347448005551117
57,ProductCD_C,addr_missing_count,0.9776820449802169
58,ProductCD_C,V57,0.9305519010923552
59,ProductCD_C,V50,0.9670032136305632
60,ProductCD_C,V43,0.8566383895494978
61,ProductCD_C,P_R_email_same,0.8290988423314731
62,ProductCD_C,V58,0.8776389723068129
63,ProductCD_C,V21,0.866778603965786
64,ProductCD_C,V42,0.8972940225353035
65,ProductCD_C,V52,0.8570325605909129
66,ProductCD_C,V33,0.9073692136361932
67,ProductCD_C,V34,0.8571086240568976
68,ProductCD_C,V39,0.8215913615843139
69,ProductCD_C,V51,0.9173536201788269
70,ProductCD_C,V59,0.818456801864236
71,ProductCD_C,V22,0.8036337139891438
72,ProductCD_C,addr1_is_missing,0.9776820449802169
73,card4_visa,card4_mastercard,0.9479275685396431
74,V18,addr_missing_count,0.8470575266249956
75,V18,V57,0.8228259589163737
76,V18,R_emaildomain_is_missing,0.8831646280531997
77,V18,V50,0.902351125907935
78,V18,V43,0.8687921695909089
79,V18,P_R_email_same,0.8212514726876444
80,V18,V21,0.9543967037439901
81,V18,V42,0.909013252327145
82,V18,ProductCD_W,0.9097817432612697
83,V18,V39,0.878153799292153
84,V18,V51,0.8198680898494113
85,V18,V59,0.8943744186917467
86,V18,V22,0.9160482448368023
87,V18,addr1_is_missing,0.8470575266249956
88,C2,C4,0.8692412204498811
89,C2,C14,0.9057700742329353
90,C2,C8,0.8873625962068353
91,C2,C10,0.861711884089244
92,addr_missing_count,V57,0.9123759381055606
93,addr_missing_count,V50,0.9477039868810938
94,addr_missing_count,V43,0.862108534143835
95,addr_missing_count,P_R_email_same,0.8112905570436483
96,addr_missing_count,V58,0.8614317735744921
97,addr_missing_count,V21,0.8800835483443596
98,addr_missing_count,V42,0.9030942956540444
99,addr_missing_count,V52,0.8391907317057895
100,addr_missing_count,V33,0.8932468143243629
101,addr_missing_count,V34,0.8405073075332292
102,addr_missing_count,V39,0.8273086017204542
103,addr_missing_count,V51,0.8985676422209881
104,addr_missing_count,V59,0.8249801039368508
105,addr_missing_count,V22,0.8153511796686539
106,addr_missing_count,addr1_is_missing,1.0
107,V57,R_emaildomain_is_missing,0.8821666054743422
108,V57,addr2,0.8660857261947474
109,V57,V50,0.944054652754944
110,V57,V43,0.8372117048949683
111,V57,P_R_email_same,0.9298205032676115
112,V57,V58,0.9386383194210159
113,V57,V21,0.8471574849108918
114,V57,V42,0.8793358208144696
115,V57,V52,0.8351523095876829
116,V57,V33,0.8964781010945639
117,V57,ProductCD_W,0.8770888131405642
118,V57,V34,0.8466185460960043
119,V57,V39,0.8128715552306202
120,V57,V51,0.88961953999665
121,V57,V59,0.8257402450784475
122,V57,addr1_is_missing,0.9123759381055606
123,C5,C9,0.9380524611422394
124,C5,C13,0.9366438167260603
125,V10,V30,0.841605378177698
126,V10,V11,0.9668811408410012
127,V10,V49,0.8676063405751817
128,V10,V29,0.8728736003173942
129,V10,V48,0.8925291661699633
130,R_emaildomain_is_missing,V50,0.9904010977574005
131,R_emaildomain_is_missing,V43,0.8727290469881137
132,R_emaildomain_is_missing,P_R_email_same,0.8440539113922905
133,R_emaildomain_is_missing,V58,0.8324517662654243
134,R_emaildomain_is_missing,V21,0.9173063738855551
135,R_emaildomain_is_missing,V42,0.9172615890002426
136,R_emaildomain_is_missing,V52,0.8319617699021665
137,R_emaildomain_is_missing,V33,0.8581494087787196
138,R_emaildomain_is_missing,ProductCD_W,0.9626048687249074
139,R_emaildomain_is_missing,V34,0.8091948708417469
140,R_emaildomain_is_missing,V39,0.8391400190623628
141,R_emaildomain_is_missing,V51,0.8909669112907085
142,R_emaildomain_is_missing,V59,0.8448274697368551
143,R_emaildomain_is_missing,V22,0.8727536824917009
144,dist2_category,dist2_is_missing,0.8118508237914497
145,addr2,V58,0.8649535394636102
146,M1_is_missing,total_missing_features,0.8937216271266221
147,M1_is_missing,M2_T,0.8412657075514343
148,M1_is_missing,M3_is_missing,1.0
149,M1_is_missing,m_missing_count,0.9141493264137867
150,M1_is_missing,M2_is_missing,1.0
151,M1_is_missing,M1_T,0.9998374161062583
152,V44,V45,0.8788005689038201
153,V23,V24,0.82550316581468
154,M3_T,M2_T,0.8596678674713859
155,card4_is_missing,card_missing_count,0.9498658659435508
156,card4_is_missing,card3_is_missing,0.9983924406288792
157,card4_is_missing,card6_is_missing,0.9977495048014987
158,V30,V11,0.850939560238652
159,V30,V49,0.8936641597525549
160,V30,V29,0.9572954204075629
161,V30,V48,0.8862989358435774
162,V50,email_missing_count,0.9743806332831288
163,V50,V43,0.8715295380827232
164,V50,P_R_email_same,0.9795855091712228
165,V50,V58,0.8882648458988199
166,V50,V21,0.9400935620950447
167,V50,V42,0.9151903876112024
168,V50,V52,0.827775714530255
169,V50,V33,0.9192393121349988
170,V50,ProductCD_W,0.9890912090033329
171,V50,V34,0.8771015237271456
172,V50,V39,0.8376563690589474
173,V50,V51,0.886270633563743
174,V50,V59,0.8693787936193523
175,V50,V22,0.9392846638731716
176,V50,addr1_is_missing,0.9477039868810938
177,dist_sum,dist1,1.0
178,dist_sum,dist2,1.0
179,total_missing_features,M3_is_missing,0.8937216271266218
180,total_missing_features,M2_is_missing,0.8937216271266218
181,total_missing_features,M1_T,0.8936171465633508
182,C4,C8,0.974569887112383
183,C4,C10,0.9538197319493855
184,email_missing_count,V43,0.8586213894721634
185,email_missing_count,V42,0.9024351044707204
186,email_missing_count,V52,0.818770976098087
187,email_missing_count,V39,0.8255756577489166
188,email_missing_count,V51,0.8766226631556587
189,M2_T,M3_is_missing,0.8412657075514343
190,M2_T,M2_is_missing,0.8412657075514343
191,M2_T,M1_T,0.8413863856012946
192,C12,C7,0.9279211923498192
193,V38,V37,0.8385449840170028
194,D9,trans_hour,0.9999999999996124
195,V43,P_R_email_same,0.8656246672814513
196,V43,V21,0.9012094999491924
197,V43,V42,0.945442482129629
198,V43,V33,0.8138287511429699
199,V43,ProductCD_W,0.8735657351793489
200,V43,V39,0.845258075534931
201,V43,V51,0.8074933811095846
202,V43,V59,0.849527077410272
203,V43,V22,0.8998509605559459
204,V43,addr1_is_missing,0.8621085341438349
205,V8,V9,0.8505757498592554
206,V26,V25,0.873825219664704
207,C9,C13,0.9261491864802094
208,M3_is_missing,m_missing_count,0.9141493264137867
209,M3_is_missing,M2_is_missing,1.0
210,M3_is_missing,M1_T,0.9998374161062583
211,card_missing_count,card3_is_missing,0.9506659228520086
212,card_missing_count,card6_is_missing,0.9507873402678199
213,card_missing_count,card5_is_missing,0.8574721154344982
214,V7,V6,0.8019349744354269
215,m_missing_count,M2_is_missing,0.9141493264137867
216,m_missing_count,M1_T,0.914128816633651
217,P_R_email_same,V58,0.8774140637831449
218,P_R_email_same,V21,0.8517391901860877
219,P_R_email_same,V42,0.9083392818994235
220,P_R_email_same,V52,0.8430447351336914
221,P_R_email_same,V33,0.9164655305796354
222,P_R_email_same,ProductCD_W,0.8124904045725218
223,P_R_email_same,V34,0.8659516901191396
224,P_R_email_same,V39,0.8316552721125425
225,P_R_email_same,V51,0.9026300824924068
226,P_R_email_same,addr1_is_missing,0.8112905570436483
227,V11,V49,0.8642417903201886
228,V11,V29,0.8535140978816577
229,V11,V48,0.8690221735136474
230,C8,C10,0.9608384819176793
231,V58,V21,0.8012885763197136
232,V58,V42,0.8328421791335271
233,V58,V33,0.8455110255152669
234,V58,ProductCD_W,0.8272158959461176
235,V58,V51,0.8369152038406953
236,V58,addr1_is_missing,0.861431773574492
237,V21,V42,0.9489145542722973
238,V21,ProductCD_W,0.9453086732937804
239,V21,V39,0.863217162955875
240,V21,V51,0.8510839880578976
241,V21,V59,0.9089358645129316
242,V21,V22,0.9508911625071557
243,V21,addr1_is_missing,0.8800835483443599
244,V42,V33,0.8543252954680904
245,V42,ProductCD_W,0.9183620712876869
246,V42,V34,0.8125025797952817
247,V42,V39,0.8921883955199804
248,V42,V51,0.8457107197518273
249,V42,V59,0.8955462903161835
250,V42,V22,0.9468446107285527
251,V42,addr1_is_missing,0.9030942956540444
252,V52,V33,0.8734506959713515
253,V52,ProductCD_W,0.8306388027091797
254,V52,V34,0.8761612209360891
255,V52,V51,0.9331182810722349
256,V52,addr1_is_missing,0.8391907317057895
257,V33,ProductCD_W,0.8374008931243546
258,V33,V34,0.9448614369281356
259,V33,V51,0.9360370997129251
260,V33,addr1_is_missing,0.8932468143243629
261,ProductCD_W,V39,0.8400145545722211
262,ProductCD_W,V51,0.8895748505699622
263,ProductCD_W,V59,0.8707328380641455
264,ProductCD_W,V22,0.8984376533312648
265,card3_is_missing,card6_is_missing,0.9993560517581833
266,dist_missing_count,dist1_is_missing,0.9128572247841146
267,V34,V51,0.8993376004166483
268,V34,addr1_is_missing,0.8405073075332291
269,V39,V59,0.9024475530190131
270,V39,V22,0.8613445968730896
271,V39,addr1_is_missing,0.8273086017204542
272,V51,V59,0.8058442304698541
