,Component,Explained_Variance_Ratio,Cumulative_Variance
0,PC1,0.234257657821486,0.234257657821486
1,PC2,0.11477235294387493,0.34903001076536094
2,PC3,0.044085168023011254,0.3931151787883722
3,PC4,0.04164274744103473,0.43475792622940695
4,PC5,0.03797198794232172,0.47272991417172866
5,PC6,0.03224568033807409,0.5049755945098028
6,PC7,0.028125803609695382,0.5331013981194982
7,PC8,0.024805165014569867,0.5579065631340681
8,PC9,0.022609885085694417,0.5805164482197624
9,PC10,0.01875216558862537,0.5992686138083878
